PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 )
"57,03","33,54","5,31","1.365,45","120,58","520,65","261,93"
"94,20","55,40","6,10","1.323,79","133,10","763,20","410,43"
"96,29","53,17","7,12","1.226,83","118,17","734,56","402,15"
"79,47","38,46","3,56","838,76","107,63","446,98","221,43"
"47,20","22,27","2,43","527,74","96,78","358,40","170,60"
"46,04","20,44","4,33","780,78","94,67","364,13","175,63"
"60,65","22,12","2,65","683,08","100,42","354,12","165,55"
"55,51","19,88","3,91","818,15","95,92","325,60","149,85"
"40,88","13,54","2,44","686,08","88,23","213,99","81,95"
"61,20","22,05","3,18","839,25","95,06","321,29","147,51"
"74,80","37,17","4,47","760,26","109,31","422,27","204,18"
"67,63","26,59","4,76","865,10","95,67","384,63","188,54"
"46,69","20,38","4,20","979,85","97,46","427,34","215,25"
"47,38","22,91","1,99","692,00","91,92","320,82","149,16"
"26,40","7,43","2,37","561,89","81,83","235,14","100,05"
"36,03","11,58","3,92","894,04","94,16","362,14","174,78"
"106,90","38,81","8,35","1.223,52","119,24","695,91","375,93"
"85,50","29,32","5,38","865,51","104,98","499,12","257,25"
"40,20","24,05","3,98","650,11","69,70","225,73","102,06"
"34,15","15,41","3,72","715,77","85,05","320,76","154,78"
"35,81","19,96","2,91","601,67","71,70","241,03","110,76"
"26,62","11,49","4,14","679,64","79,81","263,01","121,17"
"37,25","18,00","6,08","798,44","80,17","305,07","146,90"
"38,09","20,60","5,45","975,09","86,60","413,19","214,53"
"30,03","13,76","7,06","736,23","81,53","310,69","149,82"
"34,85","14,23","3,36","770,35","77,33","279,42","132,22"
"58,30","27,98","4,17","684,77","84,34","362,93","182,29"
"31,99","12,22","3,22","607,33","63,43","152,07","57,93"
"23,35","7,40","2,72","557,40","61,77","164,65","67,58"
"37,00","15,01","2,50","906,95","85,29","323,66","155,99"
"40,46","15,34","5,07","864,59","91,62","344,85","166,46"
"42,53","18,24","5,54","920,33","93,20","400,74","201,69"
"28,82","10,86","3,96","784,33","74,82","250,56","114,55"
"38,19","19,95","2,92","854,14","77,72","299,59","145,38"
"23,14","10,53","3,09","572,15","74,35","191,96","76,98"
"17,69","5,77","1,50","440,13","58,69","127,05","44,67"
"19,94","12,64","3,67","622,12","70,84","183,75","73,88"
"21,24","14,28","2,74","625,19","72,87","169,13","62,91"
"26,39","15,65","3,30","903,10","80,49","232,00","99,02"
"41,49","25,62","3,45","627,46","73,37","262,58","123,67"
"38,57","17,95","2,59","641,71","87,18","300,45","139,39"
"27,46","11,57","2,16","502,53","71,01","173,71","67,13"
"23,58","12,80","2,84","408,02","70,42","190,76","78,65"
"14,84","10,60","2,63","435,50","64,06","139,93","49,57"
"21,82","12,70","2,36","575,60","66,62","187,52","79,02"
"27,68","17,16","3,17","666,04","70,98","204,15","87,04"
"44,73","23,86","5,58","820,73","92,00","269,78","116,19"
"14,47","7,10","4,60","569,77","50,29","84,14","22,13"
"11,50","8,13","2,25","448,99","54,53","91,87","24,40"
"30,50","16,44","4,32","824,28","68,45","186,45","77,13"
"56,13","32,40","5,55","979,31","71,60","229,19","103,00"
"59,20","33,52","6,09","1.028,73","85,72","278,87","126,25"
"65,43","38,52","7,63","993,83","89,72","293,34","133,09"
"38,24","15,11","5,47","603,17","68,07","185,75","76,91"
"29,45","11,48","4,18","531,36","46,88","116,73","45,65"
"11,74","4,94","2,71","444,04","32,96","70,66","24,63"
"16,22","10,66","1,42","452,74","47,07","117,40","45,99"
"53,91","30,92","8,01","1.162,90","100,62","310,44","137,14"
"112,83","63,18","4,05","1.681,47","144,07","537,19","256,94"
"138,05","81,12","13,95","1.817,46","140,25","531,00","255,40"
"58,05","29,28","6,43","846,55","83,85","249,15","108,05"
"34,04","21,07","4,17","718,65","71,63","196,70","81,75"
"29,10","14,77","3,35","531,10","59,55","156,29","63,24"
"25,76","13,66","4,91","654,19","64,98","170,52","68,98"
"36,93","16,25","4,61","624,50","65,74","205,16","69,02"
"37,16","16,32","3,93","672,85","71,96","274,91","85,52"
"61,53","26,33","7,00","1.024,06","92,41","306,89","133,57"
"77,67","39,92",-,"863,67","109,83","358,08","162,26"
"100,70","54,65","11,16","1.074,68","124,11","435,83","203,75"
"116,66","63,99","11,13","1.340,87","132,47","490,76","234,20"
"77,13","40,38","5,43","1.713,94","98,15","309,35","138,03"
"77,50","45,99","9,87","696,80","90,89","280,42","123,88"
"31,48","16,49","3,14","593,17","66,68","184,49","77,00"
"38,78","17,86","4,11","833,48","81,41","245,93","107,53"
"28,37","11,97","3,59","629,25","68,91","187,47","77,50"
"40,03","17,73","3,46","795,88","86,89","270,20","119,80"
"59,30","29,60","10,40","776,43","91,11","273,15","118,97"
"31,53","13,42","3,96","500,56","50,41","114,11","41,64"
"23,40","6,45","3,59","441,15","42,05","106,11","41,88"
"15,45","7,52","2,71","518,08","31,04","70,56","25,83"
"14,28","8,59","2,29","401,84","31,19","60,86","19,37"
"28,20","21,06","4,90","644,69","42,82","88,30","29,73"
"34,88","28,93","7,55","641,29","53,54","119,98","43,41"
"34,60","27,03","4,04","649,70","63,30","156,17","60,71"
"73,20","53,64","8,68","1.083,32","93,75","284,05","124,37"
"27,55","23,86","3,94","573,08","55,58","147,36","59,98"
"25,99","22,38","4,78","621,51","58,40","145,45","56,88"
"48,59","39,24","6,32","926,82","84,41","252,06","109,58"
"50,52","39,40","3,81","738,18","80,16","228,87","97,18"
"33,84","15,09","3,18","626,82","63,65","168,41","68,48"
"25,19","21,46","2,91","573,56","41,28","81,96","26,58"
"17,62","6,72","2,34","563,29","48,16","91,80","28,54"
"24,62","13,39","3,38","648,02","54,53","117,00","40,83"
"30,94","21,37","4,75","828,28","67,65","165,57","64,00"
"26,35","22,12","3,45","660,38","48,57","94,69","30,14"
"31,78","23,73","4,58","841,76","73,70","187,39","74,30"
"40,24","23,06","5,63","771,52","73,45","186,43","73,85"
"27,31","21,26","3,54","760,48","63,63","157,82","61,56"
"22,18","18,23","3,91","644,37","38,74","70,27","20,61"
"19,85","17,65","3,16","693,12","45,61","95,07","32,32"
"18,53","14,85","2,34","643,14","55,26","119,88","42,25"
"20,08","14,25","2,68","599,83","54,92","117,56","40,94"
"29,60","15,88","2,69","745,10","77,02","160,80","54,82"
"64,39","41,37","6,10","1.119,65","128,39","297,10","110,01"
"49,42","25,27","4,11","832,74","110,75","251,34","91,89"
"42,45","22,37","5,58","690,93","80,31","174,08","61,42"
"42,18","25,59","4,44","735,35","85,12","181,34","62,96"
"48,18","28,90","7,13","959,69","138,19","299,62","105,52"
"45,94","34,15","6,72","942,86","131,26","284,95","100,45"
"33,45","15,97","4,67","778,68","96,21","214,83","77,55"
"46,75","23,38","6,66","767,90","140,15","314,11","113,83"
"33,64","20,93","4,85","609,75","82,36","178,26","62,77"
"32,64","23,09","5,37","670,99","91,29","199,83","71,33"
"37,75","24,58","5,06","722,48","104,14","222,99","77,97"
"34,36","19,98","4,67","765,86","103,08","222,00","77,65"
"38,15","22,61","3,60","659,27","89,35","156,30","44,69"
"18,96","17,45","3,04","857,06","62,52","103,32","25,48"
"19,45","17,46","3,48","622,00","80,50","126,60","30,16"
"24,71","15,27","2,58","640,46","79,64","124,31","29,30"
"33,08","18,41","1,60","608,06","113,16","193,54","52,70"
"37,32","26,87","2,37","731,55","129,36","224,95","62,50"
"36,14","21,85","3,51","750,34","135,68","246,85","72,63"
"47,96","29,08","4,19","738,69","123,33","324,59","131,51"
"71,81","41,68","8,73","1.134,06","117,08","338,37","144,60"
"60,15","36,53","8,48","976,93","94,29","259,15","107,97"
"44,94","25,57","5,22","969,95","104,93","294,29","123,70"
"61,07","34,61","10,24","1.064,38","119,93","353,07","151,94"
"92,40","55,38","9,67","1.086,69","87,06","271,52","119,55"
"35,59","20,12","3,35","707,40","81,70","154,76","47,75"
"63,64","38,32","5,43","873,31","133,24","270,02","89,40"
"64,37","45,03","4,15","710,08","97,27","191,92","61,87"
"50,65","34,25","3,31","753,87","78,55","141,04","40,85"
"55,74","36,19","3,90","674,48","82,74","157,45","48,88"
"46,52","27,00","4,15","654,53","71,89","127,52","36,60"
"53,52","29,94","4,70","776,52","121,29","246,66","82,06"
"83,91","47,35","7,20","1.012,01","131,21","268,78","89,75"
"38,20","19,12","2,92","632,44","59,55","103,71","28,77"
"70,97","29,86","7,24","965,82","132,07","309,38","116,02"
"34,90","26,78","4,88","744,38","71,10","140,88","45,60"
"32,25","15,30","3,68","692,07","41,56","109,42","44,35"
"56,73","17,88","7,42","963,06","56,50","221,03","107,54"
"78,91","30,63","5,49","1.302,67","126,73","389,79","171,91"
"87,40","39,45","6,40","1.013,30","101,56","337,21","154,03"
"25,57",-,"3,40","765,51","98,85","204,18","68,85"
"42,83","17,66","7,89","770,43","122,99","277,48","100,99"
